,Tamaño,Tradicional,Tradicional Paralelo,Cache,Cache paralelo,Recursivo tradicional,Recursivo Paralelo,Strassen,Strassen Paralelo,Tradicional en paralelo,Cache en paralelo,Recursivo en paralelo,Strassen en paralelo
0,64,0.004551643543781254,0.000165432,0.018432189627311676,5.06542e-05,0.013958582960906367,0.0001259504,0.02995641943306772,8.88762e-05,0.711522463487717,0.01800219770156173,0.13400943898693782,0.03561862757996607
1,128,0.0006913387522015844,0.0003994982,0.004228574082400545,0.000467644,0.004046455968892143,0.0007425262,0.015968064164682133,0.0004829196,0.29273580226619295,0.37055941082810856,0.06423989667443923,0.09614919289667262
2,256,0.19663446374373278,0.003290904,0.18194503144432655,0.003515,0.010778037172461863,0.005595834,0.018707231966186184,0.002961922,0.02384398042227728,0.0931517271202276,0.012538420038396815,0.06648693898488886
3,512,0.001732492915111091,0.02875728,0.0028674261877447353,0.02900436,0.00438409625092204,0.02979652,0.004090919247925888,0.02292068,0.03967946742040972,0.03783473383249966,0.007158344157921798,0.22841817431373765
4,1024,0.0017897485684491832,0.2335736,0.0007729332197377671,0.1831938,0.0016201400928326055,0.233902,0.00638925062656508,0.1495807999999999,0.028961907877431785,0.1142837844128584,0.003944086765897683,0.11836273217788253
5,2048,0.03332452530733774,1.534608,0.0002803088888247421,1.494672,0.0004444652638665936,1.879048,0.05972557975601475,0.9160064,0.09949626429082671,0.06607154136587237,0.018624546374846306,0.3337909666954349
6,4096,0.003925941851462651,38.85732,0.0004275448200842711,38.49978,0.00021393667637481167,15.09158,0.0007499838063372831,4.5706,0.005947550114003084,0.004847180254767121,0.016627459821687528,0.04939198147252315
7,8192,0.08691981826807575,123.9896,0.0003277945571135121,124.1072,0.00016703643704883068,118.9628,0.005753708340888304,32.00796,0.006204838579140236,0.01172901408227349,0.0013402468529100928,0.004744890698610465
